,D_22,D_23,D_24,D_26,D_28,D_29,D_30,D_31,D_32,D_34,D_35,D_36,D_37,D_39,D_40,D_41,D_42,D_43,D_48,D_49,D_50,D_53,D_54,D_55,D_56,D_59,D_60,D_61,D_62,D_163,D_164,D_171,D_181,D_182,D_185,D_186,D_187,D_188,D_275,D_276,D_277,D_278,D_285,D_300,D_301,D_307,D_308,D_310,D_311,D_312,D_313,D_316,D_327,D_328,D_329,D_333,D_334,D_335,D_336,D_337,D_338,D_339,D_340,D_342,D_343,D_346,D_372,D_375,D_378,D_443,D_444,D_446,D_448,D_450,D_451,D_452,D_453,D_454,D_455,D_457,D_458,D_459,D_461,D_462,D_463,D_464,D_465,D_467,D_468,D_469
baseline,0.82,0.0,0.0,0.0,0.978,0.0,0.973,0.0,0.989,0.0,0.0,0.971861471861472,0.7272727272727273,0.7761194029850746,0.8809523809523809,0.6744186046511628,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.7810650887573964,0.0,0.0,0.9,0.876,0.9333333333333332,0.0,0.0,0.0,0.0,0.5555555555555556,0.916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.967,0.0,0.0,1.0,0.987,0.946808510638298,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9940476190476192,0.0,0.0,0.0,0.0,0.78,0.0,0.8181818181818182,0.9333333333333332,0.0
simple_preprocess,0.82,0.0,0.0,0.0,0.979,0.0,0.973,0.0,0.989,0.0,0.0,0.971861471861472,0.7922077922077922,0.7761194029850746,0.8809523809523809,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.7810650887573964,0.0,0.0,0.9,0.875,0.9333333333333332,0.0,0.0,0.0,0.0,0.6195286195286195,0.925,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,1.0,0.987,0.946808510638298,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.8714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.988095238095238,0.0,0.0,0.0,0.0,0.84,0.0,0.8181818181818182,0.9333333333333332,0.0
robust_preprocess,0.7647058823529411,0.0,0.0,0.0,0.9775561097256856,0.0,0.9855491329479767,0.0,0.9851380042462844,0.0,0.0,0.9772727272727272,0.7969924812030075,0.8032786885245902,0.7307692307692307,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.8958333333333334,0.8176100628930818,0.0,0.0,0.9318181818181818,0.8760736196319019,0.9285714285714286,0.0,0.0,0.0,0.0,0.5745614035087719,0.911699779249448,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,1.0,0.9913151364764268,1.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9785177228786252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9736842105263158,0.0,0.0,0.0,0.0,0.7755102040816326,0.0,0.5454545454545454,0.9333333333333332,0.0
feature_selection,0.7975,0.0,0.0,0.0,0.97,0.0,0.973,0.0,0.989,0.0,0.0,0.971861471861472,0.7922077922077922,0.7761194029850746,0.8095238095238095,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.7810650887573964,0.0,0.0,0.8857142857142857,0.871,0.9333333333333332,0.0,0.0,0.0,0.0,0.6195286195286195,0.919,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709,0.0,0.0,1.0,0.987,0.9627659574468084,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9702380952380952,0.0,0.0,0.0,0.0,0.84,0.0,0.8181818181818182,0.9333333333333332,0.0
dimension_reduction,0.7625,0.0,0.0,0.0,0.961,0.0,0.972,0.0,0.984,0.0,0.0,0.961038961038961,0.8051948051948052,0.8059701492537313,0.8095238095238095,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.9074074074074074,0.7692307692307693,0.0,0.0,0.8857142857142857,0.864,0.8666666666666667,0.0,0.0,0.0,0.0,0.5589225589225589,0.916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.757,0.0,0.0,1.0,0.988,0.973404255319149,0.0,0.0,0.0,0.0,0.0,0.84375,0.0,0.0,0.0,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,0.0,0.0,0.0,0.8,0.0,0.9090909090909092,0.7333333333333333,0.0
conservative,0.82,0.0,0.0,0.0,0.978,0.0,0.972,0.0,0.989,0.0,0.0,0.971861471861472,0.7272727272727273,0.7761194029850746,0.8809523809523809,0.6976744186046512,0.0,0.0,0.0,0.0,0.0,0.7962962962962963,0.7810650887573964,0.0,0.0,0.8142857142857143,0.873,0.9333333333333332,0.0,0.0,0.0,0.0,0.5420875420875421,0.924,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,1.0,0.992,0.946808510638298,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.988095238095238,0.0,0.0,0.0,0.0,0.84,0.0,0.8181818181818182,0.9333333333333332,0.0
aggressive,0.7311178247734139,0.0,0.0,0.0,0.9570815450643776,0.0,0.9894039735099338,0.0,0.9854748603351956,0.0,0.0,0.9725274725274724,0.78125,0.7894736842105263,0.7352941176470589,0.5769230769230769,0.0,0.0,0.0,0.0,0.0,0.8863636363636364,0.7516339869281046,0.0,0.0,0.925,0.8652631578947368,0.9090909090909092,0.0,0.0,0.0,0.0,0.5833333333333334,0.9123867069486404,0.0,0.0,0.9333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.5772357723577236,0.0,0.0,1.0,0.9971910112359552,0.9926470588235294,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,0.0,0.0,0.0,0.0,0.8275862068965517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9537444933920703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.971830985915493,0.0,0.0,0.0,0.0,0.8,0.0,0.9090909090909092,0.7333333333333333,0.0
knn_impute_pca,0.7625,0.0,0.0,0.0,0.961,0.0,0.972,0.0,0.984,0.0,0.0,0.961038961038961,0.8051948051948052,0.8059701492537313,0.8095238095238095,0.5813953488372093,0.0,0.0,0.0,0.0,0.0,0.9074074074074074,0.7692307692307693,0.0,0.0,0.8857142857142857,0.864,0.8666666666666667,0.0,0.0,0.0,0.0,0.5589225589225589,0.916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.773,0.0,0.0,1.0,0.988,0.973404255319149,0.0,0.0,0.0,0.0,0.0,0.84375,0.0,0.0,0.0,0.0,0.9142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9940476190476192,0.0,0.0,0.0,0.0,0.8,0.0,0.9090909090909092,0.7333333333333333,0.0
mutual_info_zscore,0.753315649867374,0.0,0.0,0.0,0.9682702149437052,0.0,0.9822419533851277,0.0,0.9938080495356038,0.0,0.0,0.971861471861472,0.8,0.8059701492537313,0.7222222222222222,0.55,0.0,0.0,0.0,0.0,0.0,0.8958333333333334,0.7757575757575758,0.0,0.0,0.873015873015873,0.8755102040816326,0.9333333333333332,0.0,0.0,0.0,0.0,0.5498154981549815,0.91317671092952,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.0,0.0,1.0,0.9934497816593888,0.9828571428571428,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.0,0.0,0.0,0.7580645161290323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833679833679834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9712230215827338,0.0,0.0,0.0,0.0,0.78,0.0,0.9090909090909092,0.9333333333333332,0.0
constant_maxabs_iforest,0.8,0.0,0.0,0.0,0.983157894736842,0.0,0.9778947368421052,0.0,0.9926315789473684,0.0,0.0,0.9748858447488584,0.815068493150685,0.7777777777777778,0.8461538461538461,0.775,0.0,0.0,0.0,0.0,0.0,0.8627450980392157,0.7625,0.0,0.0,0.8333333333333334,0.8757894736842106,0.9285714285714286,0.0,0.0,0.0,0.0,0.5851063829787234,0.9178947368421052,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956842105263158,0.0,0.0,1.0,0.988421052631579,0.9438202247191012,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9821052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9874213836477987,0.0,0.0,0.0,0.0,0.8085106382978723,0.0,0.8181818181818182,0.8666666666666667,0.0
mean_minmax_lof_svd,0.7619047619047619,0.0,0.0,0.0,0.9639278557114228,0.0,0.9805194805194806,0.0,0.9886480908152736,0.0,0.0,0.9587155963302753,0.7638888888888888,0.859375,0.6829268292682927,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.8703703703703703,0.7544910179640718,0.0,0.0,0.8813559322033898,0.861,0.7,0.0,0.0,0.0,0.0,0.60431654676259,0.9202312138728324,0.0,0.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.689727463312369,0.0,0.0,1.0,0.9926470588235294,0.9513513513513514,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,0.8253968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961961961961962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9702380952380952,0.0,0.0,0.0,0.0,0.82,0.0,1.0,0.8,0.0
mostfreq_standard_iqr,0.7647058823529411,0.0,0.0,0.0,0.972568578553616,0.0,0.9869942196531792,0.0,0.9925690021231424,0.0,0.0,0.9772727272727272,0.803030303030303,0.8032786885245902,0.7307692307692307,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.8958333333333334,0.7358490566037735,0.0,0.0,0.9318181818181818,0.8676470588235294,0.9285714285714286,0.0,0.0,0.0,0.0,0.5866666666666667,0.91280353200883,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.964,0.0,0.0,1.0,0.9913151364764268,1.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9763694951664876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8367346938775511,0.0,0.5454545454545454,0.9333333333333332,0.0
